jy,jm,h,bench,old_top10,old_top10_exc,old_top20,old_top20_exc,new_top10,new_top10_exc,new_top20,new_top20_exc
1402,11,6,-0.06078916089914096,0.06497057613133822,0.12575973703047919,0.09229034583237239,0.15307950673151335,0.12873586471374687,0.18952502561288784,0.10608619383202962,0.16687535473117057
1402,12,3,-0.11153590366446237,-0.02188847585801864,0.08964742780644372,-0.054125394747621236,0.05741050891684113,-0.013387664785024511,0.09814823887943785,-0.05883177325130513,0.05270413041315723
1402,12,6,-0.026912747384728854,0.1615971321505271,0.18850987953525594,0.11735586791232996,0.1442686152970588,0.1956473193769082,0.22256006676163706,0.09896386390265287,0.12587661128738173
1403,1,3,-0.022556747951416586,0.09195145395598792,0.1145082019074045,0.11540089074447626,0.13795763869589284,0.17303746191025826,0.19559420986167486,0.09201862466814276,0.11457537261955934
1403,1,6,-0.047436050166396765,0.10588251890400893,0.1533185690704057,0.13096632524205,0.17840237540844678,0.18168906925716544,0.2291251194235622,0.08473205721590893,0.1321681073823057
1403,2,3,-0.029297686520309334,0.16205962417071113,0.19135731069102047,0.14540321026730987,0.17470089678761921,0.1998016019798055,0.22909928850011485,0.14961517567632554,0.17891286219663488
1403,2,6,0.13584122150370942,0.27618255271930553,0.1403413312155961,0.29550165909605575,0.15966043759234633,0.311180880711076,0.1753396592073666,0.32660633058802013,0.1907651090843107
1403,3,3,0.09310554041811256,0.23096714092698023,0.13786160050886767,0.24356194121886848,0.15045640080075592,0.17097419303692124,0.07786865261880868,0.2502532282070396,0.15714768778892704
1403,3,6,0.3474874168758723,0.4520703549306465,0.1045829380547742,0.47578423575906836,0.12829681888319605,0.43168704182247897,0.08419962494660665,0.510237689465064,0.16275027258919167
1403,4,3,-0.02860952863816821,-0.027131697031026823,0.0014778316071413881,-0.02675776322347203,0.001851765414696182,-0.020669473354309475,0.007940055283858737,-0.021655390339338644,0.006954138298829567
1403,4,6,0.3781631054004497,0.37591467634145587,-0.002248429058993806,0.37932039591998895,0.001157290519539278,0.33407743004460794,-0.044085675355841736,0.4426618490728587,0.06449874367240904
1403,5,3,0.17020847589933802,0.11217482281339293,-0.05803365308594509,0.20311571981863769,0.03290724391929967,0.15490114452997897,-0.01530733136935905,0.16656628600639795,-0.003642189892940073
1403,5,6,0.3840466573975127,0.239486507007119,-0.14456015039039372,0.4386408942419978,0.05459423684448511,0.2812989067092966,-0.10274775068821612,0.4166441118230882,0.03259745442557549
1403,6,3,0.23292775222389747,0.23020953857772675,-0.002718213646170725,0.27104448875941234,0.03811673653551487,0.25239404310645647,0.019466290882558995,0.2842626521392124,0.05133489991531495
