jy,jm,factor,ic
1403,6,pb,-0.5714285714285715
1403,6,om12,0.0
1403,6,nm12,0.09523809523809526
1403,6,ic,0.5381220025006314
1403,6,eq,-0.6428571428571429
1403,6,score_v1,0.11904761904761905
1403,6,score_v2,0.11904761904761905
1403,7,roe,0.1666666666666667
1403,7,lev,0.19047619047619052
1403,7,cr,-0.11904761904761905
1403,7,cc,0.2142857142857143
1403,7,pb,-0.19047619047619052
1403,7,om12,0.261904761904762
1403,7,nm12,0.5952380952380953
1403,7,ic,0.3726354020448713
1403,7,eq,-0.5714285714285715
1403,7,score_v1,0.2380952380952381
1403,7,score_v2,0.2380952380952381
1403,8,roe,-0.3142857142857143
1403,8,lev,0.2380952380952381
1403,8,cr,-0.11904761904761905
1403,8,cc,0.028571428571428574
1403,8,pb,0.09035079029052513
1403,8,om12,0.16151457061744964
1403,8,nm12,0.023073510088207072
1403,8,ic,-0.06075397761718122
1403,8,eq,-0.30952380952380953
1403,8,score_v1,0.4047619047619048
1403,8,score_v2,0.38095238095238104
1403,9,roe,-0.2798234413003283
1403,9,lev,-0.14285714285714288
1403,9,cr,0.30952380952380953
1403,9,cc,-0.36592296170042937
1403,9,pb,0.4925157503175859
1403,9,om12,0.2028006030719471
1403,9,nm12,0.3070980560803771
1403,9,ic,0.4181129057288785
1403,9,eq,-0.3571428571428572
1403,9,score_v1,0.30952380952380953
1403,9,score_v2,0.3571428571428572
1403,10,roe,0.14779939172464399
1403,10,lev,-0.06666666666666667
1403,10,cr,-0.16666666666666669
1403,10,cc,-0.7254112972754597
1403,10,pb,0.6654860161961828
1403,10,om12,-0.261778859451579
1403,10,nm12,0.17977584323783133
1403,10,ic,0.09919979117236188
1403,10,eq,-0.6
1403,10,score_v1,0.65
1403,10,score_v2,0.75
1403,11,roe,0.46656947481584343
1403,11,lev,0.13333333333333333
1403,11,cr,-0.21666666666666667
1403,11,cc,0.4374088826398532
1403,11,pb,0.3440312310280933
1403,11,om12,0.7645095721079945
1403,11,nm12,0.6011146295127142
1403,11,ic,-0.9958705948858223
1403,11,eq,-0.5
1403,11,score_v1,0.5333333333333333
1403,11,score_v2,0.6
1403,12,roe,0.8778086039709793
1403,12,lev,0.65
1403,12,cr,-0.5499999999999999
1403,12,cc,0.6144660227796855
1403,12,pb,0.05283786881753721
1403,12,om12,0.8219178082191779
1403,12,nm12,0.09365989569224607
1403,12,ic,-0.4539206495016017
1403,12,eq,-0.5666666666666667
1403,12,score_v1,0.6166666666666666
1403,12,score_v2,0.6166666666666666
1404,1,roe,0.5121475197315839
1404,1,lev,0.5
1404,1,cr,-0.45
1404,1,cc,0.35210141981546395
1404,1,pb,0.2890092940717853
1404,1,om12,0.2472621246275296
1404,1,nm12,-0.4344262295081967
1404,1,ic,0.05241424183609592
1404,1,eq,-0.45
