jy,jm,h,bench,score_v1_top5,score_v1_top5_exc,score_v2_top5,score_v2_top5_exc
1401,2,6,-0.08728071578345117,0.008073411923753415,0.09535412770720458,0.008073411923753415,0.09535412770720458
1401,3,3,-0.027415002926274176,0.037861973981393925,0.0652769769076681,0.037861973981393925,0.0652769769076681
1401,3,6,0.07875962348369553,0.09318324424590152,0.014423620762205991,0.09318324424590152,0.014423620762205991
1401,4,3,-0.011878514627465336,0.06359654296799118,0.07547505759545652,0.06359654296799118,0.07547505759545652
1401,4,6,0.4844216072604126,0.3757223804373255,-0.10869922682308714,0.3757223804373255,-0.10869922682308714
1401,5,3,0.024723197294796356,0.04127224823693996,0.016549050942143602,0.04127224823693996,0.016549050942143602
1401,5,6,0.29941547259304824,0.3046864023450826,0.005270929752034359,0.3046864023450826,0.005270929752034359
1401,6,3,0.11396155367891418,0.09270387056133148,-0.021257683117582707,0.09270387056133148,-0.021257683117582707
1401,6,6,0.5111731546606099,0.46360429592852165,-0.047568858732088215,0.46360429592852165,-0.047568858732088215
1401,7,3,0.5122154743538513,0.4839198135339043,-0.028295660819947,0.4839198135339043,-0.028295660819947
1401,7,6,1.0899930564733693,0.9392965052699672,-0.15069655120340208,0.9392965052699672,-0.15069655120340208
1401,8,3,0.24973903245830206,0.29201158758973333,0.04227255513143127,0.29201158758973333,0.04227255513143127
1401,8,6,0.9770757807357802,0.8466011868395388,-0.1304745938962414,0.8466011868395388,-0.1304745938962414
1401,9,3,0.3375446080500215,0.29708103341154973,-0.04046357463847178,0.29708103341154973,-0.04046357463847178
1401,9,6,0.6960726967852835,0.6507430582638376,-0.04532963852144589,0.6507430582638376,-0.04532963852144589
1401,10,3,0.390894598329783,0.3921484026121369,0.0012538042823538875,0.3921484026121369,0.0012538042823538875
1401,10,6,0.3190917416460439,0.38859490811510367,0.06950316646905974,0.38859490811510367,0.06950316646905974
1401,11,3,0.5990501361306646,0.5093844692088185,-0.08966566692184608,0.5093844692088185,-0.08966566692184608
1401,11,6,0.39175703057075456,0.28943863641964024,-0.10231839415111432,0.28943863641964024,-0.10231839415111432
1401,12,3,0.28925513925069546,0.20822561258660213,-0.08102952666409333,0.20822561258660213,-0.08102952666409333
1401,12,6,0.2814157143202609,0.15065413570312516,-0.13076157861713575,0.15065413570312516,-0.13076157861713575
1402,1,3,-0.04037336195741954,0.00277481314040815,0.043148175097827694,0.00277481314040815,0.043148175097827694
1402,1,6,-0.11135607140999806,-0.06355393817659036,0.047802133233407706,-0.06355393817659036,0.047802133233407706
1402,2,3,-0.11397320599380723,-0.01983191768814796,0.09414128830565927,-0.01983191768814796,0.09414128830565927
1402,2,6,-0.16607022325232934,-0.10980534081284621,0.05626488243948313,-0.10980534081284621,0.05626488243948313
1402,3,3,-0.01269251370416552,0.023897871394317604,0.03659038509848313,0.023897871394317604,0.03659038509848313
1402,3,6,-0.017982501350811475,0.017942722892762285,0.035925224243573764,0.017942722892762285,0.035925224243573764
1402,4,3,-0.07312442785146261,-0.07645789277715323,-0.0033334649256906157,-0.07645789277715323,-0.0033334649256906157
1402,4,6,-0.052374516246349895,-0.0391121315860951,0.013262384660254797,-0.0391121315860951,0.013262384660254797
1402,5,3,-0.04862623540344603,-0.07718185197823205,-0.028555616574786016,-0.06619455970061716,-0.01756832429717113
1402,5,6,-0.018253345692921405,-0.053297189901356304,-0.0350438442084349,-0.052202370742021095,-0.03394902504909969
1402,6,3,-0.007349564723921009,-0.013227532580527357,-0.005877967856606348,-0.013227532580527357,-0.005877967856606348
1402,6,6,-0.07934472548900369,-0.06309841884236038,0.01624630664664331,-0.06309841884236038,0.01624630664664331
1402,7,3,0.019958227181771468,0.013557911971139158,-0.00640031521063231,0.013557911971139158,-0.00640031521063231
1402,7,6,-0.07413272551156752,-0.05552968422780211,0.018603041283765408,-0.05552968422780211,0.018603041283765408
1402,8,3,0.0345285410466272,0.01888670632573337,-0.015641834720893828,0.01888670632573337,-0.015641834720893828
1402,8,6,-0.019052754281828635,0.003567348751672572,0.022620103033501208,0.003567348751672572,0.022620103033501208
1402,9,3,-0.06976318385454418,-0.04557486370296242,0.02418832015158176,-0.04775169092777418,0.022011492926769995
1402,9,6,-0.18158067794639743,-0.14244873586802362,0.03913194207837381,-0.1323856703347086,0.049195007611688824
1402,10,3,-0.09356382417778031,-0.0692999464923328,0.024263877685447507,-0.0692999464923328,0.024263877685447507
1402,10,6,-0.06616960485056984,0.02176515891157549,0.08793476376214533,0.02176515891157549,0.08793476376214533
1402,11,3,-0.04755408276866217,-0.011414784251171728,0.03613929851749045,-0.011414784251171728,0.03613929851749045
1402,11,6,-0.0838414423145443,0.05018649691200121,0.1340279392265455,0.05018649691200121,0.1340279392265455
1402,12,3,-0.12611204127682396,-0.06878916340792837,0.05732287786889559,-0.0836248820920592,0.042487159184764756
1402,12,6,-0.005241338858830047,0.08351632253639447,0.08875766139522452,0.10180372538060767,0.10704506423943771
1403,1,3,0.024927695841985967,0.1017684047836267,0.07684070894164073,0.1017684047836267,0.07684070894164073
1403,1,6,0.011477984507729896,0.07442014575815373,0.06294216125042383,0.07442014575815373,0.06294216125042383
1403,2,3,-0.04297043960642695,0.0035627756624088793,0.04653321526883583,0.028578902093629698,0.07154934170005664
1403,2,6,0.08938378752224423,0.1109348186618651,0.02155103113962087,0.14821912764428724,0.058835340122043014
1403,3,3,0.13096775999869112,0.19848981455327988,0.06752205455458876,0.19848981455327988,0.06752205455458876
1403,3,6,0.2897087821216093,0.34577439447569003,0.05606561235408075,0.34577439447569003,0.05606561235408075
1403,4,3,-0.013193063063127966,-0.027143598194220898,-0.013950535131092932,-0.027143598194220898,-0.013950535131092932
1403,4,6,0.2605125593786259,0.3161422521639281,0.05562969278530222,0.31614225216392805,0.055629692785302165
1403,5,3,0.14309036509011136,0.15370892192670865,0.010618556836597293,0.15370892192670865,0.010618556836597293
1403,5,6,0.20353300093863733,0.2154150634609071,0.011882062522269782,0.2154150634609071,0.011882062522269782
1403,6,3,0.14234846869622775,0.14463580544587668,0.002287336749648927,0.14463580544587668,0.002287336749648927
1403,6,6,-0.04607099988065047,-0.004758203298942809,0.04131279658170766,-0.004758203298942809,0.04131279658170766
1403,7,3,0.2743661086721597,0.2975660116037093,0.02319990293154961,0.2975660116037093,0.02319990293154961
1403,7,6,0.13233642062636364,0.21018875324325595,0.07785233261689231,0.21018875324325595,0.07785233261689231
1403,8,3,0.046024976670785395,0.044722359699018034,-0.0013026169717673605,0.044722359699018034,-0.0013026169717673605
1403,8,6,0.20942909734747317,0.33712986005804824,0.12770076271057507,0.33712986005804824,0.12770076271057507
1403,9,3,-0.17020108002274031,-0.13774919455340745,0.032451885469332864,-0.13774919455340745,0.032451885469332864
1403,9,6,0.03852191198552249,0.14056269646921168,0.1020407844836892,0.14056269646921168,0.1020407844836892
1403,10,3,-0.08203457213145476,0.0104722603099217,0.09250683244137646,0.0104722603099217,0.09250683244137646
1403,10,6,-0.005401519193906412,0.15933880783204143,0.16474032702594785,0.15933880783204143,0.16474032702594785
1403,11,3,0.20595512652104989,0.3729597579785446,0.1670046314574947,0.3729597579785446,0.1670046314574947
1403,11,6,0.03306556978635194,0.18130119067669145,0.1482356208903395,0.18130119067669145,0.1482356208903395
