jy,jm,cid,symbol,sg12,sg3,rg,opg,npg,om,nm,mt,ic,eq,pe,ps,liq,stability,vol,mom,growth_s,prof_s,val_s,mkt_s,dq,score,ttm_np,pe_invalid,fwd3,fwd6,fwd12
1403,3,bbcfae1712205951bfbb99d634742ad8,غکورش,16.5846357098977,-37.94803890363626,,0.0,59.93511759935117,,,,,,1.2484787018255579,,0.0,0.6608189256635693,1.6043469796013174,-8.50984764028242,14.541288644424622,6.5,7.846153846153846,7.133215962441314,1.0,36.020658453019784,39440000000.0,False,0.19455727051177796,0.2445166531275358,0.1783103168155935
1403,3,bda1926ec65a0bac619855e021b6b61c,شگویا,11.502978381221428,-2.9865317184914253,,0.0,40.607734806629836,,,,,,3.5304518664047153,,0.0,0.8868884701789135,1.7380925337680193,-22.751209027404617,13.593980288359377,6.5,5.153846153846153,7.183978873239437,1.0,32.43180531544497,48777807976.0,False,-0.09474123539232115,-0.09627156371730727,-0.21271563717306652
1403,3,bde997b478a960687f241894a21e4fdb,فملی,45.82288202351494,3.641504753767544,,0.0,18.852838933951332,,,,,,4.155893536121673,,0.0,0.7647156536114277,1.4450997961178453,-9.494893734474196,17.542392765859425,6.5,4.384615384615385,8.686913145539906,1.0,37.113921296014716,615420000000.0,False,-0.053064958828910824,0.20494053064958861,0.35681610247026585
1403,3,be2e68f612059a7c256315b91e2aba36,کیمیا,1.4503057476420222,-30.903193296131093,,0.0,-79.9604743083004,,,,,,13.781065088757396,,0.0,0.3087786368186487,2.0352963813137728,-18.765259853505412,6.482185673502912,6.5,1.3076923076923075,4.334800469483568,0.8799999999999999,16.38971703659733,760500000.0,False,-0.21726062687848924,0.13739802490339148,0.005152425933875993
1403,3,c373c2297b48b0838e26f18bf2419ddb,کرماشا,-6.7663372868042355,-50.01927824936941,,0.0,-35.42692628229411,,,,,,2.4487856388595564,,0.0,0.5187213167155107,1.4452231250780456,-13.749070171088517,7.350720996110496,6.5,6.0,6.899354460093896,1.0,26.750075456204392,30079371600.0,False,0.22610320540462925,0.5828661779502666,0.5466436682478082
1403,3,c45bd2f33db1b2f949e77b9db3b4ec72,کطبس,27.820621934309074,27.773810536909526,,0.0,16.610912105154092,,,,,,5.181930693069307,,0.0,0.683575429933562,1.6914011450607283,-22.720561092654112,15.769628379806612,6.5,3.2307692307692304,5.32306338028169,1.0,30.823460990857534,1575600000.0,False,0.03940769047050385,0.320277048005732,0.3264867446859334
1403,3,c5978431f5fc7f58270049f2352c5a00,پاسا,26.58589091907806,11.968074714529987,,0.0,43.30882352941177,,,,,,2.008722421754746,,0.0,0.6700050415087538,2.5426778524400446,-12.278736276047496,16.57512671898529,6.5,6.538461538461538,5.301056338028169,1.0,34.914644595474996,3703100000.0,False,-0.06564495530012793,0.2268199233716468,0.5139208173690939
1403,3,c629b0270c5a5e7f60f68d0cb34f55df,غمینو,11.456406674331387,-0.7654071192591316,,-12.81063122923588,-9.518072289156626,,,,,,1.6498002663115845,,0.0,0.6978035931703552,2.3659445999172917,-16.901408450704224,6.923310405390529,6.5,7.307692307692308,5.117370892018779,1.0,25.848373605101617,2027700000.0,False,0.1896690879741727,0.42776432606941106,0.9023405972558489
1403,3,c72d6744160ed4ab4dd2ea41ac2b3c63,ذوب,14.070174970290484,-21.327011091125957,,0.0,18.895252075658046,,,,,,,,0.0,0.8410803725351674,1.6626403051065488,-16.632016632016633,11.54221647756311,0.0,0.0,7.679577464788732,1.0,19.221793942351844,-44027581356.0,True,0.057356608478803306,0.3266832917705742,0.04987531172069781
1403,3,c830a9da03fc01d31766b115fa297d6c,حتاید,143.33641997293256,-7.126227350946457,,0.0,128.31293833098124,,,,,,1.9170940170940172,,0.0,0.6551076566808853,2.373126853067924,-2.689804772234272,24.351685942574523,6.5,6.76923076923077,6.487089201877934,1.0,44.10800591368323,14040000000.0,False,0.43156486847971376,0.6433348194382513,1.3655818100757897
1403,3,c948737bdfc349d67b85aee1855d53b9,زقیام,24.308199547373444,4.52589539563002,,67.31413873749013,103.47222222222223,,,,,,4.087030716723549,,0.0,0.948757293154699,1.7604282116159833,-19.468728984532614,22.72863978127136,6.5,4.615384615384616,7.666666666666666,1.0,41.51069106332264,4041688294.0,False,0.17995824634655455,0.43173277661795284,0.5791231732776594
1403,3,ca5267d5258e0569e8890f5e68c841e1,غگل,66.83099168883484,-29.463140680727328,,0.0,208.0,,,,,,6.126623376623376,,0.0,0.7646996719282835,1.8431656391626712,-20.17766497461929,23.17159353039393,6.5,2.6923076923076925,5.853286384976526,1.0,38.21718760767815,3696000000.0,False,0.09114997350291443,0.12241653418124043,0.8770535241123472
1403,3,caeb12747085d21bf8331e09cbac141e,سرود,35.579406757314636,35.88989008865895,,0.0,49.4770716009654,,,,,,0.35548977395048437,,0.0,0.8083144652680222,1.1991594464508621,-8.454608454608458,20.125415275091363,6.5,9.769230769230768,9.946596244131456,1.0,46.341242288453586,6019920000.0,False,0.08856926570779566,0.1339894019682042,1.0492051476154391
