jy,jm,h,n,bench,top10,top10_excess,top20,top20_excess
1403,4,6,144,0.3781631054004497,0.37591467634145587,-0.002248429058993806,0.37932039591998895,0.001157290519539278
1403,4,12,143,0.40606957526927445,0.530464822854493,0.12439524758521858,0.5594088190714387,0.15333924380216424
1403,5,3,146,0.17020847589933802,0.11217482281339293,-0.05803365308594509,0.20311571981863769,0.03290724391929967
1403,5,6,146,0.3840466573975127,0.239486507007119,-0.14456015039039372,0.4386408942419978,0.05459423684448511
1403,5,12,146,0.3294754503510816,0.2693866705422746,-0.060088779808807,0.4897571275086781,0.1602816771575965
1403,6,3,147,0.23292775222389747,0.23020953857772675,-0.002718213646170725,0.27104448875941234,0.03811673653551487
1403,6,6,147,0.20785588530037513,0.2688866561775777,0.061030770877202545,0.30338337443941643,0.0955274891390413
1403,6,12,147,0.23814275064201362,0.41964961023164377,0.18150685958963014,0.34681829728015373,0.10867554663814011
1403,7,3,148,0.4198017925860791,0.4555660618643512,0.03576426927827214,0.4951969399801993,0.07539514739412023
1403,7,6,148,0.42132492836950536,0.5489490001130731,0.12762407174356777,0.6011394191529329,0.17981449078342754
1403,7,12,147,0.5649377298421128,0.5774866607935538,0.01254893095144105,0.7195831666626049,0.15464543682049214
1403,8,3,148,0.18714400087206295,0.12240914136763777,-0.06473485950442519,0.20512773520506125,0.017983734332998297
1403,8,6,148,0.3883740179405142,0.3910696715300707,0.0026956535895565348,0.5062376035769535,0.11786358563643928
1403,8,12,147,0.4353174692098957,0.3043387569607635,-0.1309787122491322,0.4244721588744566,-0.010845310335439118
1403,9,3,148,-0.021556141642498073,-0.004877629775231052,0.016678511867267022,-0.007243835859972181,0.014312305782525892
1403,9,6,147,0.1782732786859164,0.2712899127839993,0.09301663409808289,0.1872843202433078,0.009011041557391408
1403,9,12,148,0.44496826248012533,0.4420785411979818,-0.0028897212821435425,0.30467971197756494,-0.1402885505025604
1403,10,3,148,-0.003727931762835361,0.03655081836686214,0.0402787501296975,0.02687395986061051,0.03060189162344587
1403,10,6,147,0.00520030324967099,0.07418410245875998,0.06898379920908898,0.03593641646702674,0.030736113217355754
1403,10,12,148,0.4344687562662506,0.5040174550424237,0.06954869877617309,0.41394696323993785,-0.02052179302631274
1403,11,3,149,0.16387818650805666,0.2412240344688575,0.07734584796080085,0.21058698433804574,0.046708797829989074
1403,11,6,149,-0.05048825298378297,-0.013664329278812592,0.036823923704970375,-0.0050581924418576455,0.045430060541925325
1403,11,12,149,0.33517208188721814,0.27684440727555504,-0.058327674611663105,0.3635281361482255,0.028356054261007346
1403,12,3,151,0.20529464103101655,0.328146040721397,0.12285139969038048,0.27913114440778247,0.07383650337676592
