jy,jm,h,n,bench,top10,top10_excess,top20,top20_excess
1400,10,3,112,0.22248290216059355,0.22360847916555154,0.001125577004957995,0.2512585014240317,0.028775599263438173
1400,10,6,112,0.2149463062229095,0.23883586802775897,0.02388956180484947,0.22788058866805277,0.012934282445143275
1400,10,12,112,0.6150994480359582,0.5092388489700661,-0.10586059906589207,0.5241917759618888,-0.09090767207406936
1400,11,3,117,0.40987538505247045,0.4107460747113202,0.0008706896588497326,0.35717906890961604,-0.052696316142854416
1400,11,6,117,0.25730684050305763,0.34287431036388494,0.0855674698608273,0.24819546305109386,-0.009111377451963776
1400,11,12,117,0.5393891531231603,0.6878349614120964,0.14844580828893617,0.6255595937898362,0.0861704406666759
1400,12,3,117,0.20063412372005973,0.20901182460183892,0.008377700881779193,0.2201607269057158,0.019526603185656077
1400,12,6,117,0.11925325435874602,0.17470220431048983,0.055448949951743806,0.14735151871247973,0.028098264353733707
1400,12,12,117,0.7567074943169906,0.841276347741038,0.08456885342404741,0.6998882549361122,-0.056819239380878406
1401,1,3,118,-0.008548208523334058,0.0014910429337248953,0.010039251457058954,0.028403891264592463,0.03695209978792652
1401,1,6,118,-0.07755989473230945,-0.026715319160537432,0.05084457557177202,-0.04550251044546094,0.03205738428684851
1401,1,12,118,0.9071328520670109,0.8916071247094435,-0.01552572735756741,0.8783955258147083,-0.02873732625230263
1401,2,3,119,-0.11122784698737767,-0.032191796158997456,0.07903605082838022,-0.04958895720952823,0.06163888977784944
1401,2,6,119,-0.08360834057277557,0.02211848725179465,0.10572682782457021,-0.026671471927297852,0.056936868645477715
1401,2,12,119,0.7473475297865273,0.7336898561276894,-0.013657673658837854,0.7456294642827224,-0.001718065503804933
1401,3,3,121,-0.0643065923621022,-0.04241555867124125,0.021891033690860956,-0.01938706788702555,0.044919524475076654
1401,3,6,121,0.07310414759982357,0.19067087280208145,0.11756672520225787,0.13442240826321353,0.061318260663389954
1401,3,12,121,0.7881479844116845,0.8471767858401371,0.05902880142845257,0.7492707683796445,-0.038877216032040085
1401,4,3,121,-0.061917113223598795,0.011158939197998851,0.07307605242159765,-0.01393969913659036,0.04797741408700844
1401,4,6,121,0.33633898612990437,0.40796566316433813,0.07162667703443376,0.3929258565714392,0.05658687044153482
1401,4,12,121,0.7607118287512386,0.8201278119302161,0.05941598317897756,0.7507326160146135,-0.009979212736625054
1401,5,3,124,0.027889026325730478,0.10521207172005342,0.07732304539432294,0.08689218352396946,0.05900315719823898
1401,5,6,124,0.22569041801459516,0.27598497917351583,0.05029456115892067,0.3207431773993295,0.09505275938473434
1401,5,12,124,0.6691274390543777,0.6159194568540569,-0.05320798220032075,0.7507225433349206,0.08159510428054295
1401,6,3,125,0.14692435631275508,0.1844302292711837,0.03750587295842861,0.21600922159056157,0.0690848652778065
1401,6,6,125,0.5630173077226801,0.5640543136119497,0.0010370058892695821,0.7356427239248658,0.17262541620218574
1401,6,12,125,0.8529220413444523,0.7057213879181837,-0.14720065342626854,1.017736227810703,0.16481418646625068
1401,7,3,127,0.42946893674809333,0.3629936434022604,-0.06647529334583291,0.4335798036211477,0.004110866873054342
1401,7,6,127,1.0685050222182808,0.9193712423257058,-0.14913377989257504,1.1134390587423595,0.04493403652407868
1401,7,12,127,0.8295471606272077,0.7800793861666394,-0.04946777446056827,0.9224796104211912,0.09293244979398352
1401,8,3,128,0.2026236318344513,0.12795571371829517,-0.07466791811615614,0.16916447923211572,-0.03345915260233559
1401,8,6,128,0.9257488156475462,0.6558693212590737,-0.2698794943884725,0.8487934094151312,-0.07695540623241504
1401,8,12,128,0.6907426462679167,0.40394962521124017,-0.28679302105667653,0.5614794923965618,-0.1292631538713549
1401,9,3,128,0.36306615490142224,0.32743191138981204,-0.03563424351161021,0.3350797839957626,-0.02798637090565964
